                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.8262,                 3.7748,                  1.542,                 0.0033,                0.96774,                0.12359,                0.04054,                 1.6676,                 4.3621,                  1.479,             0.00065185,             0.00065185,             0.00065185
                      2,                 1.7578,                 3.0689,                 1.5717,                  0.002,                0.58525,                0.00778,                0.00358,                 2.2132,                 4.8775,                  2.353,              0.0013055,              0.0013055,              0.0013055
                      3,                 1.8332,                 2.6595,                 1.6467,                0.06172,                0.01843,                 0.0177,                0.00914,                 2.3796,                 4.6326,                 2.4686,              0.0019459,              0.0019459,              0.0019459
                      4,                 1.8342,                 2.3662,                 1.6859,                0.30767,                0.20737,                 0.1661,                0.07995,                 2.2182,                 4.2721,                 2.3815,              0.0019406,              0.0019406,              0.0019406
                      5,                 1.7662,                 2.1066,                 1.6405,                0.54172,                0.34562,                0.39951,                0.20161,                 1.8563,                 6.1032,                 1.9499,              0.0019208,              0.0019208,              0.0019208
                      6,                 1.7473,                 1.9615,                 1.6527,                0.70646,                0.49908,                0.54246,                0.28331,                 1.7991,                 2.5173,                 1.8888,               0.001901,               0.001901,               0.001901
                      7,                 1.7162,                 1.8466,                  1.609,                 0.6788,                0.52591,                0.58781,                0.30588,                 1.7513,                 1.8692,                 1.7343,              0.0018812,              0.0018812,              0.0018812
                      8,                 1.6041,                 1.7191,                 1.5055,                0.63841,                0.41494,                0.46836,                 0.2287,                 1.8262,                 2.5903,                 1.7995,              0.0018614,              0.0018614,              0.0018614
                      9,                 1.6147,                 1.6439,                   1.53,                0.78791,                0.48387,                  0.604,                 0.3111,                 1.8245,                 1.6401,                 1.7148,              0.0018416,              0.0018416,              0.0018416
                     10,                 1.6023,                 1.6174,                 1.5021,                0.75883,                0.49298,                0.57033,                0.32116,                 1.6981,                  2.139,                 1.6709,              0.0018218,              0.0018218,              0.0018218
                     11,                 1.5844,                 1.5525,                 1.4751,                0.80459,                0.64513,                0.71325,                0.41019,                  1.576,                 1.5675,                 1.5824,               0.001802,               0.001802,               0.001802
                     12,                 1.5336,                 1.4753,                 1.4821,                0.82424,                0.63594,                0.68168,                0.37934,                 1.6241,                 1.5597,                 1.6318,              0.0017822,              0.0017822,              0.0017822
                     13,                 1.5466,                 1.4975,                 1.4815,                0.76382,                0.67742,                0.72595,                0.41641,                 1.5992,                  1.443,                 1.6177,              0.0017624,              0.0017624,              0.0017624
                     14,                 1.4816,                 1.4348,                 1.4544,                0.77111,                0.60829,                0.70061,                  0.383,                  1.607,                 1.6946,                 1.6102,              0.0017426,              0.0017426,              0.0017426
                     15,                 1.4844,                 1.4291,                  1.418,                0.81381,                0.60369,                0.72814,                0.41119,                 1.5814,                 1.3727,                 1.5654,              0.0017228,              0.0017228,              0.0017228
                     16,                 1.4917,                 1.3228,                 1.4264,                0.90324,                0.60228,                0.71173,                0.39761,                 1.6183,                  1.848,                 1.6552,               0.001703,               0.001703,               0.001703
                     17,                 1.4861,                 1.3486,                 1.4494,                0.84967,                0.67721,                0.77588,                0.45244,                 1.5246,                 1.2832,                 1.5436,              0.0016832,              0.0016832,              0.0016832
                     18,                 1.4371,                   1.33,                 1.4112,                0.82426,                0.64516,                0.73775,                0.42749,                 1.4783,                 1.5939,                 1.5296,              0.0016634,              0.0016634,              0.0016634
                     19,                 1.3723,                 1.1903,                 1.3498,                0.73338,                0.69717,                0.75788,                0.40939,                 1.5742,                 1.3777,                 1.5531,              0.0016436,              0.0016436,              0.0016436
                     20,                 1.3659,                 1.1984,                 1.3425,                0.85488,                0.69124,                0.77162,                0.46359,                 1.4793,                 1.2814,                 1.5167,              0.0016238,              0.0016238,              0.0016238
